OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
8a9bf807-f899-4c07-95b8-9d312ef1e192,BTC-ADA,LIMIT_SELL,331,0.00006166,0.00005109,0.02043925,01/08/2018 08:35,01/08/2018 08:35
03c985c1-3903-4e7b-8c38-a786de076b7e,BTC-LTC,LIMIT_BUY,0.60879942,0.01676883,0.00002552,0.01020885,01/07/2018 20:30,01/07/2018 20:30
20977e71-2ce6-4048-b1ec-08a6d0b3f21b,BTC-LTC,LIMIT_SELL,0.4,0.01905,0.00001905,0.00762,12/23/2017 10:35:05 PM,12/23/2017 10:35:05 PM
679763ba-e803-46f6-8392-fb74d5a7bcd9,ETH-ADA,LIMIT_SELL,250.1273243,0.00066004,0.00041274,0.16509654,12/19/2017 1:49:44 PM,12/19/2017 1:49:44 PM
4c2424bd-8ae7-4ef3-af5f-5dfd9061b020,BTC-ANS,LIMIT_BUY,5.09481013,0.00392,0.0000498,0.0199207,6/20/2017 10:26:26 AM,6/20/2017 10:26:26 AM
b0fd5f1e-1205-4d0a-8ce4-31e44d9a258f,BTC-LTC,LIMIT_BUY,0.88539227,0.01419769,0.00003132,0.0125283,9/16/2017 4:55:22 PM,9/16/2017 4:55:23 PM
4aa11811-1204-441d-b962-a5f77474d462,BTC-ARK,LIMIT_BUY,22.30116004,0.00102167,0.00005696,0.02278442,9/16/2017 4:46:31 PM,9/16/2017 4:46:31 PM
7697b26b-3807-41b5-a3fd-71600474eebe,BTC-ETH,LIMIT_SELL,0.33502107,0.06835,0.00005724,0.02289869,9/16/2017 4:45:54 PM,9/16/2017 4:45:54 PM
114631a8-2769-4ca2-84fe-c95252e2ed70,BTC-SC,LIMIT_SELL,2714.285714,0.00000157,0.00001065,0.00426142,09/12/2017 21:59,09/12/2017 21:59
05894108-b117-4f54-a091-8052e42d17af,BTC-NEO,LIMIT_BUY,1.63728651,0.00707978,0.00002897,0.01159162,09/02/2017 10:52,09/02/2017 10:52
aad24e72-002e-48c1-93b9-fbda42aae43d,BTC-FCT,LIMIT_BUY,4.51969636,0.00662102,0.00007481,0.02992499,8/27/2017 10:19:49 PM,8/27/2017 10:19:49 PM
42ede0fa-fe72-4875-876f-9f644982e928,ETH-ADX,LIMIT_BUY,44.07216495,0.003395,0.00037406,0.149625,8/23/2017 6:49:40 PM,8/23/2017 6:49:40 PM
da92610e-85ef-49a9-b202-cb31ccbc5685,ETH-NEO,LIMIT_SELL,0.84826923,0.13,0.00027568,0.11027499,8/23/2017 5:47:44 PM,8/23/2017 5:48:06 PM
de3740ec-89f5-487a-9d53-de22c2347d67,BTC-GNT,LIMIT_BUY,76.15085121,0.00026198,0.00004987,0.01994999,6/19/2017 9:09:23 PM,6/19/2017 9:09:28 PM
7737281c-428b-4563-95b2-c41fb2350abd,BTC-XRP,LIMIT_BUY,192.9587001,0.00010328,0.00004982,0.01992877,6/19/2017 9:08:40 PM,6/19/2017 9:08:40 PM
136b0e9a-8718-4b74-b2db-30b3e5e6cbef,BTC-SC,LIMIT_BUY,2714.285714,0.00000735,0.00004986,0.01994998,6/19/2017 8:18:05 PM,6/19/2017 8:18:23 PM
